rank_abs,Entity,Code,y2016,abs_change_pp,atlas2025_adult_highBMI_2025_pct,atlas2025_adult_obesity_2025_pct,atlas2025_obese_adults_2015_thousands,atlas2025_obese_adults_2030_thousands,atlas2023_annual_increase_adult_obesity_2020_2035_pct,atlas2023_adult_obesity_2035_pct,atlas2022_adult_obesity_2030_pct,atlas2022_annual_increase_adult_obesity_2010_2030_pct,atlas2022_men_obesity_2030_pct,atlas2022_women_obesity_2030_pct,country_atlas,page_atlas2022,page_atlas2023,page_atlas2025
54,Greece,GRC,24.9,4.1,63.0,30.0,2300.0,2540.0,2.0,39.0,31.4,1.5,32.15,30.66,Greece,150.0,104.0,134.0
55,Peru,PER,19.7,4.0,73.0,30.0,4180.0,8860.0,2.5,34.0,26.0,1.9,20.9,30.89,Peru,220.0,169.0,203.0
55,Austria,AUT,20.1,4.0,46.0,16.0,1020.0,1210.0,2.4,34.0,26.3,1.8,29.27,23.44,Austria,89.0,46.0,74.0
57,Mauritania,MRT,12.7,3.9,51.0,25.0,332.0,814.0,4.2,32.0,18.5,2.8,10.27,26.78,Mauritania,191.0,143.0,175.0
57,Sweden,SWE,20.6,3.9,52.0,16.0,1140.0,1370.0,2.2,33.0,26.7,1.8,30.78,22.59,Sweden,250.0,198.0,234.0
57,Germany,DEU,22.3,3.9,55.0,21.0,14070.0,14090.0,2.2,36.0,28.5,1.6,31.64,25.41,Germany,148.0,102.0,132.0
60,Serbia,SRB,21.5,3.8,57.0,24.0,1150.0,1360.0,2.1,34.0,27.8,1.7,28.47,27.08,Serbia,236.0,184.0,219.0
60,Venezuela,VEN,25.6,3.8,54.0,24.0,4520.0,4720.0,,,32.0,1.4,29.13,34.65,Venezuela,274.0,,258.0
62,Cote d'Ivoire,CIV,10.3,3.7,37.0,13.0,1120.0,2690.0,4.3,25.0,15.6,3.1,9.03,22.23,Cote D’Ivoire,123.0,78.0,107.0
62,Cameroon,CMR,11.4,3.7,42.0,16.0,1390.0,3000.0,4.3,28.0,16.7,2.9,9.43,23.94,Cameroon,111.0,67.0,96.0
62,Denmark,DNK,19.7,3.7,46.0,14.0,569.0,673.0,2.3,32.0,25.4,1.7,29.74,21.13,Denmark,129.0,84.0,113.0
62,France,FRA,21.6,3.7,34.0,9.0,5630.0,4360.0,2.0,34.0,27.5,1.6,29.18,25.88,France,143.0,97.0,128.0
62,Finland,FIN,22.2,3.7,57.0,22.0,870.0,1070.0,2.4,39.0,28.2,1.6,31.06,25.52,Finland,142.0,96.0,127.0
62,Poland,POL,23.1,3.7,66.0,30.0,7420.0,9810.0,1.7,33.0,28.9,1.5,31.58,26.54,Poland,222.0,171.0,205.0
68,Switzerland,CHE,19.5,3.6,41.0,12.0,799.0,930.0,2.8,37.0,25.3,1.7,29.41,21.21,Switzerland,251.0,199.0,235.0
68,Belarus,BLR,24.5,3.6,58.0,22.0,1650.0,1570.0,1.9,38.0,30.4,1.4,29.86,30.83,Belarus,95.0,52.0,80.0
70,Nigeria,NGA,8.9,3.5,37.0,14.0,8600.0,20570.0,4.9,24.0,13.4,3.3,7.21,19.71,Nigeria,208.0,159.0,191.0
70,Ghana,GHA,10.9,3.5,39.0,14.0,1666.0,3320.0,4.2,25.0,15.6,2.9,7.09,24.22,Ghana,149.0,103.0,133.0
