Entity,Code,y2006,y2016,abs_change_pp,rel_change_pct,annual_pp_per_year,pop_2023,pop_last_year,pop_last,ncd_country_2025,Region,Superregion,un_member,un_name,pop_for_filter,pop_ge_5m,ncd_men_2006,ncd_women_2006,ncd_meanMW_2006,ncd_men_2016,ncd_women_2016,ncd_meanMW_2016,ncd_meanMW_abs_change_pp,ncd_men_abs_change_pp,ncd_women_abs_change_pp,rank_abs_all,rank_rel_all
Congo,COG,6.6,9.6,3.0,45.5,0.3,6182885.0,2024.0,6332961.0,Congo (Brazzaville),Central and southern Africa,Sub-Saharan Africa,True,Congo,6182885.0,True,3.4338623916847997,10.1684802301021,6.80117131089345,5.76801564431206,14.107126019598102,9.937570831955082,3.136399521061632,2.33415325262726,3.938645789496002,144.0,59.0
Zimbabwe,ZWE,12.5,15.5,3.0,24.0,0.3,16340822.0,2024.0,16634373.0,Zimbabwe,East Africa,Sub-Saharan Africa,True,Zimbabwe,16340822.0,True,3.33696145546002,21.7625642693439,12.54976286240196,4.931614968675619,26.323966447471598,15.627790708073608,3.078027845671647,1.5946535132155994,4.561402178127697,144.0,124.0
Italy,ITA,16.9,19.9,3.0,17.8,0.3,58984216.0,2024.0,58952704.0,Italy,Southwestern Europe,High-income western,True,Italy,58984216.0,True,16.9233257971764,18.09148624954,17.5074060233582,20.9368617678711,20.4096729364121,20.6732673521416,3.1658613287834,4.013535970694701,2.3181866868720995,144.0,168.0
Somalia,SOM,5.4,8.3,2.9,53.7,0.29,18358615.0,2024.0,19009151.0,Somalia,East Africa,Sub-Saharan Africa,True,Somalia,18358615.0,True,2.45231518464883,8.608966561764241,5.5306408732065355,4.11734366391763,12.821785600104299,8.469564632010965,2.938923758804429,1.6650284792688002,4.212819038340058,147.0,41.0
Togo,TGO,5.5,8.4,2.9,52.7,0.29,9304337.0,2024.0,9515236.0,Togo,West Africa,Sub-Saharan Africa,True,Togo,9304337.0,True,2.34795066321141,8.67763757768942,5.512794120450415,4.03195079502897,13.0572362695839,8.544593532306434,3.031799411856019,1.6840001318175597,4.379598691894479,147.0,43.0
Sierra Leone,SLE,5.8,8.7,2.9,50.0,0.29,8460512.0,2024.0,8642022.0,Sierra Leone,West Africa,Sub-Saharan Africa,True,Sierra Leone,8460512.0,True,2.37604969326282,9.51517257080378,5.9456111320333,3.97914360699819,13.8771213668596,8.928132486928895,2.982521354895595,1.60309391373537,4.3619487960558185,147.0,45.0
Latvia,LVA,20.7,23.6,2.9,14.0,0.29,1883710.0,2024.0,1866124.0,Latvia,Eastern Europe,Central and eastern Europe,True,Latvia,1883710.0,False,17.9288368435967,24.3947174325476,21.16177713807215,22.3751364740172,26.168391201118602,24.271763837567903,3.109986699495753,4.446299630420501,1.7736737685710011,147.0,182.0
China,CHN,3.4,6.2,2.8,82.4,0.28,1410710000.0,2024.0,1408975000.0,China,East Asia,East and southeast Asia,True,China,1410710000.0,True,2.97980599774114,4.2446921104005195,3.61224905407083,6.11174923595005,6.83133795814156,6.471543597045805,2.8592945429749754,3.13194323820891,2.586645847741041,151.0,8.0
Bhutan,BTN,3.6,6.4,2.8,77.8,0.28,786385.0,2024.0,791524.0,Bhutan,South Asia,South Asia,True,Bhutan,786385.0,False,2.5431627699612,5.41685503409936,3.9800089020302796,4.923729014802429,8.89683725512795,6.91028313496519,2.9302742329349103,2.3805662448412295,3.4799822210285907,151.0,13.0
Guinea,GIN,4.9,7.7,2.8,57.1,0.28,14405468.0,2024.0,14754785.0,Guinea,West Africa,Sub-Saharan Africa,True,Guinea,14405468.0,True,2.2505779008192497,7.90124254475208,5.075910222785665,3.87325238670171,12.0051266468637,7.9391895167827045,2.8632792939970395,1.6226744858824604,4.1038841021116195,151.0,36.0
