Entity,Code,y2006,y2016,abs_change_pp,rel_change_pct,annual_pp_per_year,pop_2023,pop_last_year,pop_last,ncd_country_2025,Region,Superregion,un_member,un_name,pop_for_filter,pop_ge_5m,ncd_men_2006,ncd_women_2006,ncd_meanMW_2006,ncd_men_2016,ncd_women_2016,ncd_meanMW_2016,ncd_meanMW_abs_change_pp,ncd_men_abs_change_pp,ncd_women_abs_change_pp,rank_abs_all,rank_rel_all,rank_abs,rank_rel,rank_ncd_meanMW
Ukraine,UKR,20.8,24.1,3.3,15.9,0.33,37732836.0,2024.0,37860221.0,Ukraine,Eastern Europe,Central and eastern Europe,True,Ukraine,37732836.0,True,17.8585019114754,24.5170850785464,21.1877934950109,22.7568681137529,26.7184377865738,24.73765295016335,3.5498594551524505,4.898366202277501,2.2013527080274002,130.0,178.0,74,119,71
Angola,AGO,5.0,8.2,3.2,64.0,0.32,36749906.0,2024.0,37885849.0,Angola,Central and southern Africa,Sub-Saharan Africa,True,Angola,36749906.0,True,2.21391148464093,8.013333420443521,5.113622452542225,4.227555718084821,12.6102893034377,8.41892251076126,3.305300058219034,2.0136442334438907,4.596955882994179,136.0,26.0,79,21,81
Belgium,BEL,18.9,22.1,3.2,16.9,0.32,11779946.0,2024.0,11858610.0,Belgium,Northwestern Europe,High-income western,True,Belgium,11779946.0,True,19.475204454374502,19.7020727632448,19.588638608809653,23.9851087805987,21.8693587629467,22.9272337717727,3.3385951629630455,4.5099043262241985,2.1672859997018996,136.0,174.0,79,118,79
Indonesia,IDN,3.8,6.9,3.1,81.6,0.31,281190067.0,2024.0,283487931.0,Indonesia,Southeast Asia,East and southeast Asia,True,Indonesia,281190067.0,True,2.3323035294652303,5.62918796442056,3.9807457469428953,4.97848357714258,9.27857960273227,7.128531589937425,3.1477858429945296,2.6461800476773494,3.6493916383117098,139.0,9.0,81,6,85
Benin,BEN,6.5,9.6,3.1,47.7,0.31,14111034.0,2024.0,14462724.0,Benin,West Africa,Sub-Saharan Africa,True,Benin,14111034.0,True,2.95698305722524,10.1550897199119,6.55603638856857,4.90426046471212,14.8373554206438,9.87080794267796,3.31477155410939,1.9472774074868804,4.6822657007319,139.0,52.0,81,43,80
Liberia,LBR,6.8,9.9,3.1,45.6,0.31,5493031.0,2024.0,5612817.0,Liberia,West Africa,Sub-Saharan Africa,True,Liberia,5493031.0,True,3.5716606828040196,10.4790623831435,7.0253615329737595,5.732212020972479,14.8202555774252,10.27623379919884,3.2508722662250804,2.16055133816846,4.341193194281701,139.0,58.0,81,47,83
Israel,ISR,23.0,26.1,3.1,13.5,0.31,9849000.0,2024.0,9974400.0,Israel,Southwestern Europe,High-income western,True,Israel,9849000.0,True,22.1928590276351,25.3540315895465,23.7734453085908,26.815483566543,27.3018635045367,27.058673535539853,3.2852282269490516,4.6226245389079,1.9478319149902,139.0,184.0,81,121,82
Congo,COG,6.6,9.6,3.0,45.5,0.3,6182885.0,2024.0,6332961.0,Congo (Brazzaville),Central and southern Africa,Sub-Saharan Africa,True,Congo,6182885.0,True,3.4338623916847997,10.1684802301021,6.80117131089345,5.76801564431206,14.107126019598102,9.937570831955082,3.136399521061632,2.33415325262726,3.938645789496002,144.0,59.0,85,48,86
Zimbabwe,ZWE,12.5,15.5,3.0,24.0,0.3,16340822.0,2024.0,16634373.0,Zimbabwe,East Africa,Sub-Saharan Africa,True,Zimbabwe,16340822.0,True,3.33696145546002,21.7625642693439,12.54976286240196,4.931614968675619,26.323966447471598,15.627790708073608,3.078027845671647,1.5946535132155994,4.561402178127697,144.0,124.0,85,85,87
Italy,ITA,16.9,19.9,3.0,17.8,0.3,58984216.0,2024.0,58952704.0,Italy,Southwestern Europe,High-income western,True,Italy,58984216.0,True,16.9233257971764,18.09148624954,17.5074060233582,20.9368617678711,20.4096729364121,20.6732673521416,3.1658613287834,4.013535970694701,2.3181866868720995,144.0,168.0,85,114,84
Somalia,SOM,5.4,8.3,2.9,53.7,0.29,18358615.0,2024.0,19009151.0,Somalia,East Africa,Sub-Saharan Africa,True,Somalia,18358615.0,True,2.45231518464883,8.608966561764241,5.5306408732065355,4.11734366391763,12.821785600104299,8.469564632010965,2.938923758804429,1.6650284792688002,4.212819038340058,147.0,41.0,88,34,90
Togo,TGO,5.5,8.4,2.9,52.7,0.29,9304337.0,2024.0,9515236.0,Togo,West Africa,Sub-Saharan Africa,True,Togo,9304337.0,True,2.34795066321141,8.67763757768942,5.512794120450415,4.03195079502897,13.0572362695839,8.544593532306434,3.031799411856019,1.6840001318175597,4.379598691894479,147.0,43.0,88,36,88
Sierra Leone,SLE,5.8,8.7,2.9,50.0,0.29,8460512.0,2024.0,8642022.0,Sierra Leone,West Africa,Sub-Saharan Africa,True,Sierra Leone,8460512.0,True,2.37604969326282,9.51517257080378,5.9456111320333,3.97914360699819,13.8771213668596,8.928132486928895,2.982521354895595,1.60309391373537,4.3619487960558185,147.0,45.0,88,38,89
China,CHN,3.4,6.2,2.8,82.4,0.28,1410710000.0,2024.0,1408975000.0,China,East Asia,East and southeast Asia,True,China,1410710000.0,True,2.97980599774114,4.2446921104005195,3.61224905407083,6.11174923595005,6.83133795814156,6.471543597045805,2.8592945429749754,3.13194323820891,2.586645847741041,151.0,8.0,91,5,94
Guinea,GIN,4.9,7.7,2.8,57.1,0.28,14405468.0,2024.0,14754785.0,Guinea,West Africa,Sub-Saharan Africa,True,Guinea,14405468.0,True,2.2505779008192497,7.90124254475208,5.075910222785665,3.87325238670171,12.0051266468637,7.9391895167827045,2.8632792939970395,1.6226744858824604,4.1038841021116195,151.0,36.0,91,30,93
Zambia,ZMB,5.3,8.1,2.8,52.8,0.28,20723965.0,2024.0,21314956.0,Zambia,East Africa,Sub-Saharan Africa,True,Zambia,20723965.0,True,2.20027004125647,8.72914652452768,5.464708282892075,3.72274251574072,12.9886875441237,8.35571502993221,2.8910067470401346,1.5224724744842502,4.2595410195960195,151.0,42.0,91,35,91
Senegal,SEN,6.0,8.8,2.8,46.7,0.28,18077573.0,2024.0,18501984.0,Senegal,West Africa,Sub-Saharan Africa,True,Senegal,18077573.0,True,2.5824439102583,9.47245760775062,6.02745075900446,4.1488066366817495,13.499704290136899,8.824255463409324,2.796804704404864,1.5663627264234496,4.027246682386279,151.0,56.0,91,45,95
Kenya,KEN,4.4,7.1,2.7,61.4,0.27,55339003.0,2024.0,56432944.0,Kenya,East Africa,Sub-Saharan Africa,True,Kenya,55339003.0,True,1.6935910180634302,7.3413395770106495,4.51746529753704,2.97291204571827,11.613995591557499,7.293453818637884,2.775988521100844,1.27932102765484,4.2726560145468495,157.0,30.0,95,25,96
Russia,RUS,20.4,23.1,2.7,13.2,0.27,143826130.0,2024.0,143533851.0,Russia,Eastern Europe,Central and eastern Europe,True,Russian Federation,143826130.0,True,14.687799665376,26.522666632649,20.6052331490125,18.8793319805182,28.1128087880443,23.49607038428125,2.8908372352687515,4.191532315142199,1.5901421553953021,157.0,186.0,95,122,92
Laos,LAO,2.7,5.3,2.6,96.3,0.26,7664993.0,2024.0,7769819.0,Laos,Southeast Asia,East and southeast Asia,True,Lao People's Democratic Republic,7664993.0,True,1.6031581179418002,3.83414593305516,2.7186520254984803,3.9046669706455104,7.0224179484466,5.463542459546055,2.7448904340475746,2.3015088527037104,3.18827201539144,160.0,3.0,97,2,97
Myanmar,MMR,3.2,5.8,2.6,81.2,0.26,54133798.0,2024.0,54500091.0,Myanmar,Southeast Asia,East and southeast Asia,True,Myanmar,54133798.0,True,2.01729383602698,4.45530618664358,3.2363000113352802,4.21025860655707,7.613184787914889,5.911721697235979,2.675421685900699,2.19296477053009,3.1578786012713094,160.0,10.0,97,7,98
Burkina Faso,BFA,3.1,5.6,2.5,80.6,0.25,23025776.0,2024.0,23548781.0,Burkina Faso,West Africa,Sub-Saharan Africa,True,Burkina Faso,23025776.0,True,1.3344348157499302,4.7858053375750105,3.0601200766624705,2.70321348846986,8.48866494894571,5.595939218707785,2.5358191420453142,1.3687786727199298,3.702859611370699,164.0,11.0,99,8,101
Rwanda,RWA,3.3,5.8,2.5,75.8,0.25,13954471.0,2024.0,14256567.0,Rwanda,East Africa,Sub-Saharan Africa,True,Rwanda,13954471.0,True,1.01141974183325,5.71912724485734,3.365273493345295,2.00582887907723,9.741068121149569,5.873448500113399,2.5081750067681043,0.9944091372439798,4.021940876292229,164.0,15.0,99,11,102
Democratic Republic of Congo,COD,4.2,6.7,2.5,59.5,0.25,105789731.0,2024.0,109276265.0,DR Congo,Central and southern Africa,Sub-Saharan Africa,True,Democratic Republic of the Congo,105789731.0,True,2.0638498498551,6.4831492195314,4.27349953469325,3.73164851585052,10.1214347729727,6.92654164441161,2.65304210971836,1.66779866599542,3.6382855534412997,164.0,33.0,99,27,99
Central African Republic,CAF,5.0,7.5,2.5,50.0,0.25,5152421.0,2024.0,5330690.0,Central African Republic,Central and southern Africa,Sub-Saharan Africa,True,Central African Republic,5152421.0,True,2.33811531270352,7.797659386256569,5.067887349480045,3.8625676871654897,11.412300225324099,7.637433956244794,2.5695466067647494,1.5244523744619696,3.6146408390675298,164.0,45.0,99,38,100
Mozambique,MOZ,4.8,7.2,2.4,50.0,0.24,33635160.0,2024.0,34631766.0,Mozambique,East Africa,Sub-Saharan Africa,True,Mozambique,33635160.0,True,2.11859732970352,7.41253183209454,4.76556458089903,3.4246457743229,11.0001907577494,7.212418266036149,2.4468536851371194,1.30604844461938,3.5876589256548588,169.0,45.0,103,38,103
Afghanistan,AFG,3.2,5.5,2.3,71.9,0.23,41454761.0,2024.0,42647492.0,Afghanistan,South Asia,South Asia,True,Afghanistan,41454761.0,True,1.80964129730776,4.88390768503604,3.3467744911719,3.36033942594302,8.002288513091269,5.681313969517145,2.334539478345245,1.5506981286352601,3.118380828055229,170.0,17.0,104,13,104
Sri Lanka,LKA,3.0,5.2,2.2,73.3,0.22,22037000.0,2024.0,21916000.0,Sri Lanka,South Asia,South Asia,True,Sri Lanka,22037000.0,True,1.50434488116068,4.61061367251466,3.05747927683767,2.98236614760319,7.59133926444506,5.286852706024125,2.229373429186455,1.4780212664425099,2.9807255919304003,171.0,16.0,105,12,111
Madagascar,MDG,3.1,5.3,2.2,71.0,0.22,31195932.0,2024.0,31964956.0,Madagascar,East Africa,Sub-Saharan Africa,True,Madagascar,31195932.0,True,1.69213126291481,4.77297104141578,3.232551152165295,3.11476283996869,7.88682267918418,5.500792759576434,2.2682416074111393,1.42263157705388,3.1138516377683993,171.0,18.0,105,14,108
Burundi,BDI,3.2,5.4,2.2,68.8,0.22,13689450.0,2024.0,14047786.0,Burundi,East Africa,Sub-Saharan Africa,True,Burundi,13689450.0,True,1.23763616633988,5.44460634050292,3.3411212534214,2.1978658677642997,9.00489259196196,5.60137922986313,2.26025797644173,0.9602297014244197,3.56028625145904,171.0,20.0,105,16,109
Malawi,MWI,3.6,5.8,2.2,61.1,0.22,21104482.0,2024.0,21655286.0,Malawi,East Africa,Sub-Saharan Africa,True,Malawi,21104482.0,True,1.37465957740071,6.00940046887765,3.69203002313918,2.3087422187452002,9.55869704161931,5.933719630182255,2.241689607043075,0.9340826413444903,3.5492965727416594,171.0,31.0,105,26,110
Chad,TCD,3.9,6.1,2.2,56.4,0.22,19319064.0,2024.0,20299123.0,Chad,West Africa,Sub-Saharan Africa,True,Chad,19319064.0,True,1.9298650516259002,6.0783073955090705,4.0040862235674854,3.2305789971517798,9.33723490178071,6.283906949466244,2.279820725898759,1.3007139455258796,3.2589275062716387,171.0,37.0,105,31,106
Philippines,PHL,4.2,6.4,2.2,52.4,0.22,114891199.0,2024.0,115843670.0,Philippines,Southeast Asia,East and southeast Asia,True,Philippines,114891199.0,True,3.2806188444454905,5.460044139503,4.3703314919742455,5.46661112637638,7.85853962270474,6.66257537454056,2.2922438825663143,2.1859922819308895,2.3984954832017396,171.0,44.0,105,37,105
Uganda,UGA,3.2,5.3,2.1,65.6,0.21,48656601.0,2024.0,50015092.0,Uganda,East Africa,Sub-Saharan Africa,True,Uganda,48656601.0,True,1.08586792452025,5.5523247167433,3.319096320631775,1.92460133892111,9.00425162841791,5.46442648366951,2.1453301630377353,0.83873341440086,3.45192691167461,177.0,23.0,111,18,112
Niger,NER,3.4,5.5,2.1,61.8,0.21,26159867.0,2024.0,27032412.0,Niger,West Africa,Sub-Saharan Africa,True,Niger,26159867.0,True,1.46190180795071,5.687897946840359,3.5748998773955347,2.58433012756124,9.10494199266361,5.844636060112425,2.26973618271689,1.1224283196105298,3.4170440458232507,177.0,29.0,111,24,107
North Korea,PRK,4.9,6.8,1.9,38.8,0.19,26418204.0,2024.0,26498823.0,North Korea,Southeast Asia,East and southeast Asia,True,Democratic People's Republic of Korea,26418204.0,True,4.08625510717666,5.8739103888136395,4.98008274799515,6.34237368445204,7.5946215923392195,6.96849763839563,1.9884148904004801,2.2561185772753802,1.72071120352558,181.0,67.0,113,52,113
Nepal,NPL,2.3,4.1,1.8,78.3,0.18,29694614.0,2024.0,29651054.0,Nepal,South Asia,South Asia,True,Nepal,29694614.0,True,1.4782037076496999,3.28405359331903,2.381128650484365,2.79904103298762,5.64098629338984,4.22001366318873,1.8388850127043654,1.3208373253379202,2.3569327000708102,182.0,12.0,114,9,115
Ethiopia,ETH,2.7,4.5,1.8,66.7,0.18,128691692.0,2024.0,132059767.0,Ethiopia,East Africa,Sub-Saharan Africa,True,Ethiopia,128691692.0,True,1.1134439694620402,4.36986614634707,2.7416550579045547,1.98086088715883,7.25356314706245,4.61721201711064,1.8755569592060857,0.8674169176967899,2.8836970007153804,182.0,21.0,114,17,114
Bangladesh,BGD,1.9,3.6,1.7,89.5,0.17,171466990.0,2024.0,173562364.0,Bangladesh,South Asia,South Asia,True,Bangladesh,171466990.0,True,1.14404303689663,2.95074633263513,2.04739468476588,2.37082902390262,5.18913161380624,3.77998031885443,1.73258563408855,1.22678598700599,2.23838528117111,185.0,6.0,116,3,117
Cambodia,KHM,2.2,3.9,1.7,77.3,0.17,17423880.0,2024.0,17638801.0,Cambodia,Southeast Asia,East and southeast Asia,True,Cambodia,17423880.0,True,1.41923308932292,2.93200473594111,2.175618912632015,2.83969597271896,5.05749914997707,3.9485975613480147,1.7729786487159997,1.42046288339604,2.12549441403596,185.0,14.0,116,10,116
India,IND,2.3,3.9,1.6,69.6,0.16,1438069596.0,2024.0,1450935791.0,India,South Asia,South Asia,True,India,1438069596.0,True,1.5055873510531699,3.2740406992630104,2.38981402515809,2.87154583082912,5.30602003272252,4.08878293177582,1.69896890661773,1.36595847977595,2.0319793334595095,187.0,19.0,118,15,118
Japan,JPN,2.7,4.3,1.6,59.3,0.16,124516650.0,2024.0,123975371.0,Japan,East Asia,East and southeast Asia,True,Japan,124516650.0,True,2.79268199504819,2.86848248575255,2.83058224040037,4.96557538614737,3.8577988947978703,4.411687140472621,1.5811049000722508,2.1728933910991803,0.9893164090453204,187.0,34.0,118,28,119
South Korea,KOR,3.5,4.7,1.2,34.3,0.12,51712619.0,2024.0,51751065.0,South Korea,East Asia,East and southeast Asia,True,Republic of Korea,51712619.0,True,3.06747340074065,4.07122617466684,3.5693497877037452,4.5689766625679,5.0277334417306205,4.79835505214926,1.2290052644455147,1.5015032618272501,0.9565072670637802,189.0,79.0,120,58,120
Vietnam,VNM,1.0,2.1,1.1,110.0,0.11,100352192.0,2024.0,100987686.0,Viet Nam,Southeast Asia,East and southeast Asia,True,Vietnam,100352192.0,True,0.66706859659655,1.3943530596136,1.030710828105075,1.66608167929919,2.7065382035544,2.186309941426795,1.1555991133217198,0.9990130827026399,1.3121851439408,190.0,1.0,121,1,122
Singapore,SGP,5.0,6.1,1.1,22.0,0.11,5917648.0,2024.0,6036860.0,Singapore,East Asia,East and southeast Asia,True,Singapore,5917648.0,True,4.36306559451793,5.92242698590832,5.142746290213125,6.069014912017949,6.62824853469302,6.348631723355485,1.2058854331423596,1.7059493175000195,0.7058215487846997,190.0,140.0,121,98,121
