member_state,date_of_admission,source_url,access_date,channel
Iran (Islamic Republic of),24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Iraq,21 December 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Ireland,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Israel,11 May 1949,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Italy,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Jamaica,18 September 1962,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Japan,18 December 1956,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Jordan,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Kazakhstan,2 March 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Kenya,16 December 1963,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Kiribati,14 September 1999,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Kuwait,14 May 1963,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Kyrgyzstan,2 March 1992,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Lao People's Democratic Republic,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Latvia,17 September 1991,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Lebanon,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Lesotho,17 October 1966,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Liberia,2 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Libya,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Liechtenstein,18 September 1990,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Lithuania,17 September 1991,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Luxembourg,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Madagascar,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Malawi,1 December 1964,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Malaysia,17 September 1957,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Maldives,21 September 1965,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Mali,28 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Malta,1 December 1964,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Marshall Islands,17 September 1991,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Mauritania,27 October 1961,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Mauritius,24 April 1968,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Mexico,7 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Micronesia (Federated States of),17 September 1991,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Monaco,28 May 1993,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Mongolia,27 October 1961,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Montenegro,28 June 2006,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Morocco,12 November 1956,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Mozambique,16 September 1975,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Myanmar,19 April 1948,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Namibia,23 April 1990,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Naoero,14 September 1999,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Nepal,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Netherlands,10 December 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
New Zealand,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Nicaragua,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Niger,20 September 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Nigeria,7 October 1960,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
North Macedonia,8 April 1993,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Norway,27 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Oman,7 October 1971,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Pakistan,30 September 1947,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Palau,15 December 1994,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Panama,13 November 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Papua New Guinea,10 October 1975,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Paraguay,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Peru,31 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Philippines,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Poland,24 October 1945,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Portugal,14 December 1955,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
Qatar,21 September 1971,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations,2026-09-04,mcp__Firecrawl__firecrawl_search
