Entity,Code,Year,obesity_pct,ncd_country,ncd_men_pct,ncd_women_pct,ncd_mean_MW_pct,abs_diff_pp
Micronesia (country),FSM,2006,38.6,Micronesia (Federated States of),33.102476194542405,46.7528174434122,39.9276468189773,1.3276468189772999
Libya,LBY,2006,26.5,Libya,19.756564714084902,35.812514004650495,27.7845393593677,1.2845393593676988
Jordan,JOR,2006,29.7,Jordan,22.5983359195317,39.3536765777321,30.9760062486319,1.2760062486319015
Tonga,TON,2016,48.2,Tonga,42.7167007126193,56.064811611565304,49.3907561620923,1.190756162092299
United States,USA,2016,36.2,United States of America,36.4743138016023,38.1627333219757,37.318523561789,1.1185235617889973
Tonga,TON,2006,41.3,Tonga,34.6759724787966,50.1060131822407,42.390992830518655,1.0909928305186583
Syria,SYR,2016,27.8,Syrian Arab Republic,21.6415084260509,36.0892088928752,28.86535865946305,1.0653586594630475
Canada,CAN,2016,29.4,Canada,30.4713444968571,30.4442412656389,30.457792881248,1.0577928812480017
Algeria,DZA,2016,27.4,Algeria,20.6662279544328,36.2187173311687,28.442472642800748,1.0424726428007496
Australia,AUS,2016,29.0,Australia,30.5678231420639,29.513687638248697,30.0407553901563,1.0407553901562991
Saint Vincent and the Grenadines,VCT,2016,23.7,Saint Vincent and the Grenadines,17.1988620193447,32.2656511091902,24.732256564267452,1.0322565642674526
Fiji,FJI,2016,30.2,Fiji,25.951817102907597,36.5045551979374,31.2281861504225,1.0281861504224992
Cuba,CUB,2016,24.6,Cuba,19.6740505627936,31.5819717599435,25.628011161368548,1.0280111613685463
New Zealand,NZL,2016,30.8,New Zealand,31.0700017859939,32.5776061801755,31.8238039830847,1.0238039830847008
Syria,SYR,2006,21.3,Syrian Arab Republic,15.172708846688801,29.466650389957,22.3196796183229,1.0196796183229004
United Kingdom,GBR,2016,27.8,United Kingdom,27.8766216740838,29.7127166323654,28.7946691532246,0.9946691532245993
Dominican Republic,DOM,2016,27.6,Dominican Republic,21.7707579202702,35.4157781167382,28.5932680185042,0.9932680185041995
Egypt,EGY,2016,32.0,Egypt,23.5017171969738,42.4821536604724,32.991935428723096,0.9919354287230959
Costa Rica,CRI,2016,25.7,Costa Rica,21.8308081245724,31.5309441574514,26.6808761410119,0.9808761410119011
Hungary,HUN,2016,26.4,Hungary,29.1237593461531,25.636223899731903,27.3799916229425,0.979991622942503
Malta,MLT,2016,28.9,Malta,30.1129651528525,29.6259332356885,29.8694491942705,0.9694491942705028
Libya,LBY,2016,32.5,Libya,25.8517240848162,41.080186505476505,33.46595529514635,0.965955295146351
Ireland,IRL,2016,25.3,Ireland,25.9690906676116,26.5522419106188,26.2606662891152,0.9606662891151991
Israel,ISR,2016,26.1,Israel,26.815483566543,27.3018635045367,27.058673535539853,0.9586735355398517
Andorra,AND,2016,25.6,Andorra,26.7498464408904,26.3382276922682,26.5440370665793,0.9440370665792983
Iran,IRN,2006,19.7,Iran,13.8096399960017,27.4720066398428,20.640823317922248,0.9408233179222485
Chile,CHL,2016,28.0,Chile,25.7334656169527,32.126225046767296,28.929845331859998,0.9298453318599975
Iran,IRN,2016,25.8,Iran,19.9834681457158,33.472294408063306,26.727881276889555,0.9278812768895541
Malta,MLT,2006,25.3,Malta,25.0242509608949,27.422714423696497,26.223482692295697,0.9234826922956962
United States,USA,2006,29.7,United States of America,29.2944304941931,31.947378338455902,30.6209044163245,0.9209044163245004
Iraq,IRQ,2016,30.4,Iraq,24.3007441745434,38.3327644969471,31.31675433574525,0.916754335745253
Suriname,SUR,2016,26.4,Suriname,19.6389424663543,34.9929517017539,27.315947084054102,0.9159470840541033
Canada,CAN,2006,23.8,Canada,24.3385804495878,25.0863886630374,24.7124845563126,0.9124845563125987
Fiji,FJI,2006,24.3,Fiji,19.4447574692462,30.9763173304467,25.21053739984645,0.9105373998464508
Czech Republic,CZE,2016,26.0,Czech Republic,27.3212657911343,26.499117508716502,26.9101916499254,0.9101916499254017
Turkey,TUR,2016,32.1,Turkey,25.287403845407404,40.7124949322129,32.99994938881015,0.8999493888101497
Dominica,DMA,2016,27.9,Dominica,20.6916931730028,36.9066738861313,28.799183529567053,0.899183529567054
New Zealand,NZL,2006,24.9,New Zealand,24.6261087835353,26.962224326017697,25.7941665547765,0.8941665547765005
Uruguay,URY,2016,27.9,Uruguay,25.787593552570097,31.8004322929897,28.7940129227799,0.8940129227799005
Panama,PAN,2016,22.7,Panama,18.4848516657398,28.689140697627703,23.58699618168375,0.8869961816837524
Germany,DEU,2016,22.3,Germany,25.039137753508,21.3301855031888,23.1846616283484,0.8846616283484003
Vanuatu,VUT,2016,25.2,Vanuatu,20.955975271240803,31.2120953947532,26.084035332997,0.8840353329970014
Norway,NOR,2016,23.1,Norway,24.4887625895552,23.478070203541197,23.9834163965482,0.8834163965481991
Argentina,ARG,2016,28.3,Argentina,28.2312710290502,30.1351528063988,29.1832119177245,0.8832119177244984
Romania,ROU,2016,22.5,Romania,24.217742764000498,22.5474494286374,23.38259609631895,0.8825960963189488
Venezuela,VEN,2016,25.6,Venezuela,23.2073678961581,29.752563298622796,26.479965597390446,0.879965597390445
Croatia,HRV,2016,24.4,Croatia,24.9822384460126,25.5715221172876,25.2768802816501,0.8768802816501022
Luxembourg,LUX,2016,22.6,Luxembourg,25.378226985808,21.5704792625249,23.47435312416645,0.8743531241664471
Solomon Islands,SLB,2016,22.5,Solomon Islands,18.609005959831602,28.132742744626597,23.3708743522291,0.8708743522291016
Australia,AUS,2006,23.5,Australia,24.2938831799605,24.441993084011703,24.3679381319861,0.8679381319861008
Finland,FIN,2016,22.2,Finland,24.6221039279853,21.4984690983447,23.060286513165,0.8602865131650006
