country,iso,Region,Superregion,un_name,is_un_member,exclusion_note,pop_2023,pop_ge_5m,in_main_ranking,prev_men_2004,lo_men_2004,hi_men_2004,prev_women_2004,lo_women_2004,hi_women_2004,prev_both_2004,prev_men_2014,lo_men_2014,hi_men_2014,prev_women_2014,lo_women_2014,hi_women_2014,prev_both_2014,abs_change_pp_both,rel_change_pct_both,pp_per_year_both,abs_change_pp_men,rel_change_pct_men,pp_per_year_men,abs_change_pp_women,rel_change_pct_women,pp_per_year_women,rank_abs_all200,rank_abs_un_all,rank_abs_main,rank_rel_main
Tokelau,TKL,Polynesia and Micronesia,Pacific island nations,Tokelau,False,territory (NZ),,False,False,20.451306,14.049539,27.826352,21.340789,15.101980,27.951366,20.896048,26.198617,15.016284,39.197156,27.285634,16.272869,40.157411,26.742125,5.846078,27.976955,0.584608,5.747311,28.102414,0.574731,5.944845,27.856726,0.594485,1,,,
Samoa,WSM,Polynesia and Micronesia,Pacific island nations,Samoa,True,,216663.000000,False,False,17.559521,12.434484,23.084163,20.963897,15.229256,27.122454,19.261709,22.657419,13.083368,33.924098,26.571054,16.192685,38.640484,24.614237,5.352527,27.788435,0.535253,5.097898,29.032102,0.509790,5.607157,26.746730,0.560716,2,1.000000,,
Saint Lucia,LCA,The Caribbean,Latin America and the Caribbean,Saint Lucia,True,,179285.000000,False,False,8.509509,5.027952,13.054754,10.373835,6.456877,15.221519,9.441672,13.742205,6.128968,24.091019,15.140602,7.199763,25.882620,14.441404,4.999731,52.953876,0.499973,5.232696,61.492331,0.523270,4.766767,45.949903,0.476677,3,2.000000,,
Niue,NIU,Polynesia and Micronesia,Pacific island nations,Niue,False,"associated state (NZ), not UN member",,False,False,22.031623,16.412449,28.471082,22.540893,16.814815,28.562674,22.286258,26.844416,16.743306,38.316813,27.334389,17.602255,38.264776,27.089402,4.803144,21.552042,0.480314,4.812792,21.844928,0.481279,4.793495,21.265774,0.479350,4,,,
Micronesia (Federated States of),FSM,Polynesia and Micronesia,Pacific island nations,Micronesia (Federated States of),True,,112630.000000,False,False,15.936436,11.750366,21.078455,18.610907,13.950076,23.962786,17.273671,20.514773,12.185121,30.681097,23.373872,14.594732,33.974107,21.944322,4.670651,27.039131,0.467065,4.578337,28.728738,0.457834,4.762964,25.592328,0.476296,5,3.000000,,
Tonga,TON,Polynesia and Micronesia,Pacific island nations,Tonga,True,,104597.000000,False,False,17.920324,12.907966,23.426732,21.205367,15.716984,27.072508,19.562845,21.911042,12.887632,32.592101,26.359919,16.430843,37.619945,24.135481,4.572635,23.374081,0.457264,3.990718,22.269231,0.399072,5.154552,24.307772,0.515455,6,4.000000,,
Egypt,EGY,Middle East and north Africa,"Central Asia, Middle East and north Africa",Egypt,True,,114535772.000000,True,True,12.015738,8.761039,15.831742,14.848892,11.179661,18.992833,13.432315,15.991528,9.962102,23.647575,19.815767,12.868841,28.234272,17.903648,4.471332,33.287875,0.447133,3.975790,33.088187,0.397579,4.966875,33.449463,0.496687,7,5.000000,1.000000,14.000000
Occupied Palestinian Territory,PSE,Middle East and north Africa,"Central Asia, Middle East and north Africa",Occupied Palestinian Territory,False,"UN observer state, not member",5165775.000000,True,False,12.177685,9.301199,15.593221,13.243542,10.289744,16.698184,12.710613,16.520703,10.314067,24.292040,17.463656,11.401046,24.942782,16.992180,4.281566,33.684971,0.428157,4.343018,35.663742,0.434302,4.220115,31.865455,0.422011,8,,,
Iraq,IRQ,Middle East and north Africa,"Central Asia, Middle East and north Africa",Iraq,True,,45074049.000000,True,True,12.782737,9.374984,16.849577,13.504043,10.173979,17.555628,13.143390,17.229994,10.685345,25.338538,17.491442,11.100803,25.411511,17.360718,4.217328,32.087064,0.421733,4.447257,34.791120,0.444726,3.987399,29.527443,0.398740,9,6.000000,2.000000,18.000000
Turkmenistan,TKM,Central Asia,"Central Asia, Middle East and north Africa",Turkmenistan,True,,7364438.000000,True,True,8.559100,5.280895,12.476032,8.051920,5.033095,11.974184,8.305510,12.352292,6.917254,19.631648,11.981872,6.925302,18.777002,12.167082,3.861572,46.494096,0.386157,3.793192,44.317652,0.379319,3.929951,48.807630,0.392995,10,7.000000,3.000000,1.000000
Georgia,GEO,Central Asia,"Central Asia, Middle East and north Africa",Georgia,True,,3715483.000000,False,False,8.990594,5.550528,13.503001,8.782879,5.468675,12.983296,8.886736,13.278765,7.287839,20.822411,12.060564,6.759063,18.780351,12.669665,3.782928,42.568254,0.378293,4.288171,47.696199,0.428817,3.277685,37.319033,0.327769,11,8.000000,,
Lebanon,LBN,Middle East and north Africa,"Central Asia, Middle East and north Africa",Lebanon,True,,5773493.000000,True,True,10.010258,6.541189,14.488677,9.170246,5.912204,13.250337,9.590252,14.465853,8.665768,21.765605,12.235738,7.350128,18.495921,13.350795,3.760543,39.212141,0.376054,4.455595,44.510292,0.445559,3.065491,33.428669,0.306549,12,9.000000,4.000000,5.000000
Qatar,QAT,Middle East and north Africa,"Central Asia, Middle East and north Africa",Qatar,True,,2656032.000000,False,False,15.111778,11.286805,19.405867,15.348876,11.757439,19.600200,15.230327,18.939389,12.040141,27.021080,18.773501,12.186512,26.750796,18.856445,3.626118,23.808536,0.362612,3.827611,25.328660,0.382761,3.424625,22.311893,0.342462,13,10.000000,,
Fiji,FJI,Melanesia,Pacific island nations,Fiji,True,,924145.000000,False,False,12.293715,7.889557,18.266528,15.337065,10.276350,22.236440,13.815390,15.946039,8.385869,25.824375,18.875483,10.495613,29.131198,17.410761,3.595371,26.024391,0.359537,3.652324,29.708872,0.365232,3.538418,23.071026,0.353842,14,11.000000,,
Vanuatu,VUT,Melanesia,Pacific island nations,Vanuatu,True,,320409.000000,False,False,12.237287,7.915903,17.635743,12.314258,8.103404,17.485713,12.275772,15.722098,8.164382,25.677985,15.994281,8.442674,25.875072,15.858190,3.582418,29.182828,0.358242,3.484811,28.476992,0.348481,3.680024,29.884253,0.368002,15,12.000000,,
Trinidad and Tobago,TTO,The Caribbean,Latin America and the Caribbean,Trinidad and Tobago,True,,1367510.000000,False,False,7.052185,3.983605,11.211829,9.304371,5.678655,14.060912,8.178278,10.410640,4.484085,19.132008,12.958385,5.973407,22.657952,11.684513,3.506235,42.872533,0.350623,3.358455,47.622900,0.335846,3.654015,39.272025,0.365401,16,13.000000,,
Papua New Guinea,PNG,Melanesia,Pacific island nations,Papua New Guinea,True,,10389635.000000,True,True,11.854385,7.621271,17.050285,10.913073,6.982017,15.891483,11.383729,15.357027,7.439579,25.893908,14.321073,7.112806,24.310712,14.839050,3.455321,30.353156,0.345532,3.502642,29.547229,0.350264,3.408000,31.228599,0.340800,17,14.000000,5.000000,21.000000
Saint Kitts and Nevis,KNA,The Caribbean,Latin America and the Caribbean,Saint Kitts and Nevis,True,,46758.000000,False,False,9.653745,6.024423,14.319354,12.484664,8.102606,17.933909,11.069204,12.693319,6.024223,21.564138,16.303642,8.388198,26.609100,14.498480,3.429276,30.980332,0.342928,3.039574,31.485961,0.303957,3.818978,30.589355,0.381898,18,15.000000,,
Kiribati,KIR,Polynesia and Micronesia,Pacific island nations,Kiribati,True,,132530.000000,False,False,19.238601,13.824488,25.121847,18.518648,13.251996,24.418576,18.878625,22.013987,12.696371,33.574185,22.598783,13.495775,33.528869,22.306385,3.427760,18.156832,0.342776,2.775386,14.426132,0.277539,4.080134,22.032570,0.408013,19,16.000000,,
Morocco,MAR,Middle East and north Africa,"Central Asia, Middle East and north Africa",Morocco,True,,37712505.000000,True,True,10.321481,7.340190,13.929628,10.274379,7.388148,13.854271,10.297930,14.041670,8.388796,21.463177,13.396903,8.099930,20.518397,13.719286,3.421357,33.223731,0.342136,3.720189,36.043173,0.372019,3.122524,30.391364,0.312252,20,17.000000,6.000000,15.000000
Tuvalu,TUV,Polynesia and Micronesia,Pacific island nations,Tuvalu,True,,9816.000000,False,False,20.020791,14.845794,25.788853,20.739989,15.812792,26.525121,20.380390,23.248056,14.278173,34.353583,24.297024,15.422968,35.084841,23.772540,3.392150,16.644185,0.339215,3.227265,16.119566,0.322726,3.557035,17.150612,0.355704,21,18.000000,,
Yemen,YEM,Middle East and north Africa,"Central Asia, Middle East and north Africa",Yemen,True,,39390799.000000,True,True,8.782635,5.517642,12.894700,7.182290,4.392651,10.756489,7.982463,12.591963,6.653254,20.552018,10.144469,5.345870,17.004588,11.368216,3.385753,42.414896,0.338575,3.809328,43.373406,0.380933,2.962179,41.242814,0.296218,22,19.000000,7.000000,3.000000
Azerbaijan,AZE,Central Asia,"Central Asia, Middle East and north Africa",Azerbaijan,True,,10153958.000000,True,True,8.280861,4.949274,12.326145,9.564255,6.078551,13.841812,8.922558,11.572171,6.216645,18.600482,13.027069,7.240321,20.300864,12.299620,3.377062,37.848581,0.337706,3.291310,39.745980,0.329131,3.462814,36.205788,0.346281,23,20.000000,8.000000,8.000000
Libya,LBY,Middle East and north Africa,"Central Asia, Middle East and north Africa",Libya,True,,7305659.000000,True,True,11.893599,9.154447,15.243099,13.342742,10.336736,16.776919,12.618170,15.197109,9.479765,22.519082,16.591705,10.743212,23.832854,15.894407,3.276237,25.964440,0.327624,3.303511,27.775534,0.330351,3.248964,24.350046,0.324896,24,21.000000,9.000000,32.000000
Kuwait,KWT,Middle East and north Africa,"Central Asia, Middle East and north Africa",Kuwait,True,,4853420.000000,False,False,16.390503,12.270149,21.274859,16.374984,12.322171,21.087361,16.382744,19.659365,12.843791,28.092340,19.619096,12.886132,27.689717,19.639231,3.256487,19.877544,0.325649,3.268862,19.943637,0.326886,3.244112,19.811389,0.324411,25,22.000000,,
Saudi Arabia,SAU,Middle East and north Africa,"Central Asia, Middle East and north Africa",Saudi Arabia,True,,33702731.000000,True,True,14.184541,10.984135,18.158114,13.990215,10.947766,17.751064,14.087378,17.613962,11.471069,25.394501,17.013415,11.097909,24.412392,17.313689,3.226311,22.902137,0.322631,3.429421,24.177173,0.342942,3.023200,21.609390,0.302320,26,23.000000,10.000000,47.000000
Syrian Arab Republic,SYR,Middle East and north Africa,"Central Asia, Middle East and north Africa",Syrian Arab Republic,True,,23594623.000000,True,True,10.881750,8.101975,14.141243,11.983574,9.174163,15.327165,11.432662,13.968396,8.542583,21.027192,15.288633,9.623248,22.437949,14.628514,3.195852,27.953704,0.319585,3.086646,28.365347,0.308665,3.305059,27.579909,0.330506,27,24.000000,11.000000,28.000000
Iran,IRN,Middle East and north Africa,"Central Asia, Middle East and north Africa",Iran (Islamic Republic of),True,,90608707.000000,True,True,8.397611,6.588529,10.409802,9.556861,7.547540,11.627986,8.977236,11.385207,7.167387,17.168807,12.860293,8.447087,18.778110,12.122750,3.145514,35.038783,0.314551,2.987596,35.576742,0.298760,3.303432,34.566079,0.330343,28,25.000000,12.000000,12.000000
Tajikistan,TJK,Central Asia,"Central Asia, Middle East and north Africa",Tajikistan,True,,10389799.000000,True,True,7.023613,3.980622,10.874051,6.877931,3.979475,10.723992,6.950772,10.270807,5.112540,17.429401,9.907106,5.072722,16.437657,10.088956,3.138185,45.148724,0.313818,3.247194,46.232530,0.324719,3.029176,44.041963,0.302918,29,26.000000,13.000000,2.000000
Turkey,TUR,Middle East and north Africa,"Central Asia, Middle East and north Africa",Türkiye,True,,85325965.000000,True,True,9.809829,7.537784,12.293992,11.138054,8.690498,13.679118,10.473942,13.045161,8.682982,18.512169,14.169672,9.529230,19.630390,13.607417,3.133475,29.916863,0.313347,3.235332,32.980509,0.323533,3.031618,27.218560,0.303162,30,27.000000,14.000000,22.000000
Uzbekistan,UZB,Central Asia,"Central Asia, Middle East and north Africa",Uzbekistan,True,,35652307.000000,True,True,7.433718,4.482788,11.222467,7.506184,4.583447,11.275856,7.469951,10.483388,5.635162,16.944360,10.704436,5.876864,16.824272,10.593912,3.123962,41.820381,0.312396,3.049671,41.024843,0.304967,3.198253,42.608239,0.319825,31,28.000000,15.000000,4.000000
Antigua and Barbuda,ATG,The Caribbean,Latin America and the Caribbean,Antigua and Barbuda,True,,93316.000000,False,False,7.235893,4.323562,11.196102,9.828367,6.091004,14.675066,8.532130,9.923329,4.423824,17.942824,13.008345,6.259505,22.460804,11.465837,2.933707,34.384227,0.293371,2.687437,37.140362,0.268744,3.179977,32.355092,0.317998,32,29.000000,,
Mongolia,MNG,Central Asia,"Central Asia, Middle East and north Africa",Mongolia,True,,3481145.000000,False,False,9.099398,5.571981,13.483612,8.537846,5.360515,12.680133,8.818622,12.168615,6.845692,19.188998,11.187272,6.372439,17.366350,11.677943,2.859321,32.423676,0.285932,3.069217,33.729891,0.306922,2.649426,31.031548,0.264943,33,30.000000,,
Jamaica,JAM,The Caribbean,Latin America and the Caribbean,Jamaica,True,,2839786.000000,False,False,7.157798,4.777395,10.450575,10.856522,7.555302,15.165349,9.007160,9.281733,4.536469,16.033075,14.409865,7.794528,23.254527,11.845799,2.838639,31.515361,0.283864,2.123936,29.673033,0.212394,3.553342,32.730024,0.355334,34,31.000000,,
Jordan,JOR,Middle East and north Africa,"Central Asia, Middle East and north Africa",Jordan,True,,11439213.000000,True,True,13.187421,10.024202,17.006746,14.938150,11.568537,18.693186,14.062785,16.510798,10.475387,23.968588,17.180462,11.284671,24.557023,16.845630,2.782845,19.788718,0.278284,3.323377,25.201113,0.332338,2.242313,15.010647,0.224231,35,32.000000,16.000000,61.000000
Cook Islands,COK,Polynesia and Micronesia,Pacific island nations,Cook Islands,False,"associated state (NZ), not UN member",,False,False,25.641701,19.196785,32.616488,23.811402,18.214316,30.253096,24.726551,28.262049,17.570702,40.404139,26.685128,16.766984,38.190340,27.473588,2.747037,11.109665,0.274704,2.620348,10.219089,0.262035,2.873726,12.068696,0.287373,36,,,
Kyrgyzstan,KGZ,Central Asia,"Central Asia, Middle East and north Africa",Kyrgyzstan,True,,7099750.000000,True,True,7.419862,4.403824,11.172693,7.863142,4.850046,11.706702,7.641502,9.932316,5.287486,16.114417,10.824713,5.926286,17.287449,10.378514,2.737012,35.817724,0.273701,2.512454,33.861191,0.251245,2.961571,37.663958,0.296157,37,33.000000,17.000000,11.000000
Afghanistan,AFG,South Asia,South Asia,Afghanistan,True,,41454761.000000,True,True,9.048054,6.152569,12.430180,9.444992,6.561931,12.947800,9.246523,11.565728,6.409894,18.191379,12.249983,6.844230,18.791473,11.907856,2.661333,28.781983,0.266133,2.517674,27.825588,0.251767,2.804991,29.698184,0.280499,38,34.000000,18.000000,24.000000
Guyana,GUY,The Caribbean,Latin America and the Caribbean,Guyana,True,,826353.000000,False,False,6.965068,4.186669,10.816023,9.374575,5.817878,13.925462,8.169821,9.063394,4.137570,16.299125,12.596474,6.331429,21.487207,10.829934,2.660113,32.560229,0.266011,2.098326,30.126427,0.209833,3.221899,34.368481,0.322190,39,35.000000,,
Grenada,GRD,The Caribbean,Latin America and the Caribbean,Grenada,True,,117081.000000,False,False,6.793881,4.226914,10.214998,9.970621,6.513744,14.354484,8.382251,8.806099,4.019265,15.584783,13.254356,6.656344,22.093461,11.030227,2.647976,31.590276,0.264798,2.012217,29.618080,0.201222,3.283735,32.934110,0.328374,40,36.000000,,
Solomon Islands,SLB,Melanesia,Pacific island nations,Solomon Islands,True,,800005.000000,False,False,10.564227,6.609049,15.389085,12.008129,7.861269,17.135626,11.286178,12.633764,6.006628,21.642749,15.103799,7.891267,25.008754,13.868782,2.582604,22.882890,0.258260,2.069537,19.590051,0.206954,3.095670,25.779785,0.309567,41,37.000000,,
Tunisia,TUN,Middle East and north Africa,"Central Asia, Middle East and north Africa",Tunisia,True,,12200431.000000,True,True,9.345884,6.972878,12.137779,10.525973,8.099785,13.362980,9.935928,12.126647,7.448615,18.299359,12.858178,7.911140,18.973106,12.492412,2.556484,25.729694,0.255648,2.780763,29.753875,0.278076,2.332205,22.156672,0.233221,42,38.000000,19.000000,33.000000
Algeria,DZA,Middle East and north Africa,"Central Asia, Middle East and north Africa",Algeria,True,,46164219.000000,True,True,9.606677,7.050683,12.801711,10.178302,7.601718,13.359383,9.892489,12.264758,7.432182,18.802576,12.593746,7.725676,18.942435,12.429252,2.536763,25.643321,0.253676,2.658081,27.669102,0.265808,2.415444,23.731309,0.241544,43,39.000000,20.000000,34.000000
Equatorial Guinea,GNQ,Central and southern Africa,Sub-Saharan Africa,Equatorial Guinea,True,,1847549.000000,False,False,6.766694,3.894429,11.229131,6.893077,3.921871,11.779320,6.829885,9.486788,4.350303,17.714198,9.185988,4.266411,17.296375,9.336388,2.506503,36.699048,0.250650,2.720094,40.198274,0.272009,2.292912,33.263980,0.229291,44,40.000000,,
Oman,OMN,Middle East and north Africa,"Central Asia, Middle East and north Africa",Oman,True,,5049269.000000,True,True,11.319765,8.689253,14.589722,10.482111,7.956521,13.520615,10.900938,14.332360,8.597320,21.698950,12.315079,7.433774,18.424701,13.323720,2.422782,22.225443,0.242278,3.012595,26.613581,0.301259,1.832969,17.486637,0.183297,45,41.000000,21.000000,49.000000
Pakistan,PAK,South Asia,South Asia,Pakistan,True,,247504495.000000,True,True,10.096768,7.114919,13.383247,9.834175,6.960782,13.072467,9.965471,12.577136,7.025855,19.491609,12.131527,6.998982,18.567306,12.354332,2.388860,23.971371,0.238886,2.480368,24.565959,0.248037,2.297352,23.360907,0.229735,46,42.000000,22.000000,42.000000
Bermuda,BMU,The Caribbean,Latin America and the Caribbean,Bermuda,False,territory (UK),64698.000000,False,False,12.023482,7.727746,17.555224,13.062968,8.449964,18.916355,12.543225,14.220939,7.113207,23.862289,15.430497,7.873807,25.730207,14.825718,2.282493,18.197021,0.228249,2.197457,18.276380,0.219746,2.367529,18.123977,0.236753,47,,,
Armenia,ARM,Central Asia,"Central Asia, Middle East and north Africa",Armenia,True,,2964300.000000,False,False,8.601069,5.304487,12.824241,9.852988,6.320035,14.364944,9.227028,10.986533,5.862800,17.582893,11.975265,6.643990,19.066766,11.480899,2.253871,24.426831,0.225387,2.385464,27.734507,0.238546,2.122277,21.539427,0.212228,48,43.000000,,
Barbados,BRB,The Caribbean,Latin America and the Caribbean,Barbados,True,,282336.000000,False,False,8.509301,5.471402,12.586480,11.207404,7.339180,16.162321,9.858353,10.505194,5.066372,17.922043,13.714468,7.155246,22.773151,12.109831,2.251479,22.838285,0.225148,1.995893,23.455433,0.199589,2.507064,22.369710,0.250706,49,44.000000,,
Belize,BLZ,The Caribbean,Latin America and the Caribbean,Belize,True,,411106.000000,False,False,8.415951,5.499052,12.169561,12.353027,8.444952,17.340599,10.384489,9.998856,4.836576,17.094084,15.183618,8.165758,24.506568,12.591237,2.206748,21.250422,0.220675,1.582905,18.808389,0.158290,2.830591,22.914146,0.283059,50,45.000000,,
Kazakhstan,KAZ,Central Asia,"Central Asia, Middle East and north Africa",Kazakhstan,True,,20330104.000000,True,True,9.777998,6.138832,14.281060,9.549974,6.086023,13.907892,9.663986,12.356097,6.585595,19.795657,11.368100,6.197449,18.229251,11.862099,2.198113,22.745402,0.219811,2.578099,26.366325,0.257810,1.818126,19.038022,0.181813,51,46.000000,23.000000,48.000000
Angola,AGO,Central and southern Africa,Sub-Saharan Africa,Angola,True,,36749906.000000,True,True,6.139347,3.442876,9.974513,5.878198,3.314598,10.001848,6.008772,8.519414,3.843184,16.158322,7.825495,3.605346,15.097010,8.172454,2.163682,36.008721,0.216368,2.380067,38.767425,0.238007,1.947297,33.127456,0.194730,52,47.000000,24.000000,10.000000
Central African Republic,CAF,Central and southern Africa,Sub-Saharan Africa,Central African Republic,True,,5152421.000000,True,True,5.778835,3.066085,9.773862,5.489663,2.981809,9.600257,5.634249,7.980110,3.519156,15.426173,7.608410,3.539860,14.797824,7.794260,2.160011,38.337154,0.216001,2.201275,38.092014,0.220127,2.118747,38.595207,0.211875,53,48.000000,25.000000,6.000000
Haiti,HTI,The Caribbean,Latin America and the Caribbean,Haiti,True,,11637398.000000,True,True,6.591596,3.924995,10.164322,6.507424,3.872988,10.162661,6.549510,8.551771,4.024866,15.488233,8.766663,4.267932,15.868575,8.659217,2.109707,32.211672,0.210971,1.960175,29.737483,0.196017,2.259239,34.717865,0.225924,54,49.000000,26.000000,17.000000
Nepal,NPL,South Asia,South Asia,Nepal,True,,29694614.000000,True,True,9.426738,6.646229,12.599769,7.570495,5.220501,10.316048,8.498616,11.687205,6.825463,17.615470,9.486266,5.546207,14.795104,10.586735,2.088119,24.570106,0.208812,2.260467,23.979315,0.226047,1.915771,25.305755,0.191577,55,50.000000,27.000000,37.000000
Gambia,GMB,West Africa,Sub-Saharan Africa,Gambia (Republic of The),True,,2697845.000000,False,False,6.987789,4.446401,10.209137,6.250279,3.914971,9.255321,6.619034,9.440083,4.709892,16.068742,7.929988,4.005786,13.535055,8.685035,2.066001,31.213034,0.206600,2.452294,35.093984,0.245229,1.679709,26.874146,0.167971,56,51.000000,,
Honduras,HND,Central Latin America,Latin America and the Caribbean,Honduras,True,,10644851.000000,True,True,6.780876,4.412689,9.613914,7.570993,5.052282,10.589769,7.175935,8.489199,4.194533,14.427111,9.972857,5.209883,16.557456,9.231028,2.055094,28.638689,0.205509,1.708324,25.193259,0.170832,2.401864,31.724549,0.240186,57,52.000000,28.000000,26.000000
Suriname,SUR,The Caribbean,Latin America and the Caribbean,Suriname,True,,628886.000000,False,False,9.170760,6.170964,13.247171,11.253360,7.725678,16.028587,10.212060,10.946402,5.488155,18.252848,13.535831,7.322680,22.596601,12.241117,2.029056,19.869213,0.202906,1.775642,19.361988,0.177564,2.282471,20.282569,0.228247,58,53.000000,,
Marshall Islands,MHL,Polynesia and Micronesia,Pacific island nations,Marshall Islands,True,,38827.000000,False,False,18.811735,13.666978,24.941536,19.363669,14.471875,25.219116,19.087702,20.758114,11.769959,31.627603,21.474312,12.585856,31.894243,21.116213,2.028510,10.627316,0.202851,1.946378,10.346618,0.194638,2.110643,10.900013,0.211064,59,54.000000,,
Palau,PLW,Polynesia and Micronesia,Pacific island nations,Palau,True,,17727.000000,False,False,22.796948,16.896780,29.482921,19.518209,14.305830,25.508727,21.157578,24.775121,15.029426,36.145242,21.550793,12.819495,32.418642,23.162957,2.005379,9.478299,0.200538,1.978173,8.677360,0.197817,2.032584,10.413783,0.203258,60,55.000000,,
Dominica,DMA,The Caribbean,Latin America and the Caribbean,Dominica,True,,66510.000000,False,False,7.100960,4.508012,10.652132,11.006275,7.348553,15.945251,9.053617,8.482354,4.071169,14.899540,13.584800,7.410185,22.818953,11.033577,1.979959,21.869261,0.197996,1.381393,19.453611,0.138139,2.578525,23.427776,0.257853,61,56.000000,,
China,CHN,East Asia,East and southeast Asia,China,True,,1410710000.000000,True,True,7.099482,5.286425,9.178602,6.595609,4.913967,8.592212,6.847545,9.898183,5.725967,15.672769,7.643939,4.256195,12.175923,8.771061,1.923516,28.090589,0.192352,2.798701,39.421204,0.279870,1.048330,15.894369,0.104833,62,57.000000,29.000000,27.000000
French Polynesia,PYF,Polynesia and Micronesia,Pacific island nations,French Polynesia,False,territory (France),281118.000000,False,False,20.328665,14.571099,26.793957,17.397940,12.305690,23.510451,18.863302,22.336832,13.214693,33.276573,19.223209,11.267678,29.089975,20.780020,1.916718,10.161097,0.191672,2.008167,9.878501,0.200817,1.825269,10.491296,0.182527,63,,,
Swaziland,SWZ,East Africa,Sub-Saharan Africa,Eswatini,True,,1230506.000000,False,False,6.042698,3.676662,9.095180,9.252813,5.810312,13.394629,7.647755,7.863067,3.997621,13.401501,11.257188,6.125932,18.073451,9.560127,1.912372,25.005664,0.191237,1.820369,30.125110,0.182037,2.004375,21.662328,0.200437,64,58.000000,,
Bangladesh,BGD,South Asia,South Asia,Bangladesh,True,,171466990.000000,True,True,8.383282,5.910350,11.359453,7.362946,5.054086,10.119814,7.873114,10.254275,5.785958,15.867348,9.291012,5.249015,14.598353,9.772644,1.899530,24.126791,0.189953,1.870993,22.318145,0.187099,1.928066,26.186075,0.192807,65,59.000000,30.000000,39.000000
South Africa,ZAF,Other sub-Saharan Africa,Sub-Saharan Africa,South Africa,True,,63212384.000000,True,True,7.876156,5.000229,11.440780,10.641589,7.064502,14.900411,9.258873,9.666581,4.947730,16.259761,12.631978,6.842570,20.161624,11.149279,1.890407,20.417248,0.189041,1.790425,22.732213,0.179042,1.990389,18.703873,0.199039,66,60.000000,31.000000,54.000000
Mali,MLI,West Africa,Sub-Saharan Africa,Mali,True,,23769127.000000,True,True,6.197253,3.698849,9.550349,4.926592,2.842415,7.587494,5.561922,8.364520,3.997337,14.511571,6.384749,2.983721,11.481977,7.374634,1.812712,32.591470,0.181271,2.167267,34.971422,0.216727,1.458157,29.597683,0.145816,67,61.000000,32.000000,16.000000
Liberia,LBR,West Africa,Sub-Saharan Africa,Liberia,True,,5493031.000000,True,True,6.257423,4.103608,8.971757,5.543623,3.595927,8.087371,5.900523,7.789216,4.147231,12.925499,7.600828,4.067286,12.715630,7.695022,1.794499,30.412543,0.179450,1.531793,24.479610,0.153179,2.057205,37.109403,0.205721,68,62.000000,33.000000,20.000000
Bhutan,BTN,South Asia,South Asia,Bhutan,True,,786385.000000,False,False,10.082569,7.114378,13.474925,9.827625,6.912569,13.189625,9.955097,11.943846,6.731156,17.935088,11.514880,6.862408,17.088751,11.729363,1.774267,17.822696,0.177427,1.861278,18.460351,0.186128,1.687256,17.168499,0.168726,69,63.000000,,
Lesotho,LSO,East Africa,Sub-Saharan Africa,Lesotho,True,,2311472.000000,False,False,5.352777,3.004279,8.361340,8.315705,4.966717,12.617629,6.834241,7.305080,3.505890,12.848456,9.853079,5.041588,16.280317,8.579080,1.744839,25.530835,0.174484,1.952303,36.472714,0.195230,1.537374,18.487602,0.153737,70,64.000000,,
United Arab Emirates,ARE,Middle East and north Africa,"Central Asia, Middle East and north Africa",United Arab Emirates,True,,10483751.000000,True,True,13.326399,10.252532,17.356249,13.668600,10.624717,17.484407,13.497499,15.021190,9.150515,22.498975,15.402467,9.713438,22.561533,15.211829,1.714329,12.701087,0.171433,1.694791,12.717546,0.169479,1.733867,12.685041,0.173387,71,65.000000,34.000000,84.000000
Comoros,COM,East Africa,Sub-Saharan Africa,Comoros,True,,850387.000000,False,False,6.322377,3.856406,9.634530,6.172650,3.887082,9.249264,6.247514,7.863303,4.122388,12.935835,8.024518,4.341126,13.021568,7.943911,1.696397,27.153156,0.169640,1.540926,24.372567,0.154093,1.851869,30.001193,0.185187,72,66.000000,,
Dominican Republic,DOM,The Caribbean,Latin America and the Caribbean,Dominican Republic,True,,11331265.000000,True,True,7.493260,4.894264,10.936590,9.202618,6.211410,13.145940,8.347939,8.634808,4.100574,15.069826,11.440736,6.082249,19.615797,10.037772,1.689833,20.242513,0.168983,1.141547,15.234317,0.114155,2.238118,24.320452,0.223812,73,67.000000,35.000000,57.000000
Gabon,GAB,Central and southern Africa,Sub-Saharan Africa,Gabon,True,,2484789.000000,False,False,8.456369,4.547756,14.182300,8.159252,4.480489,14.139390,8.307811,10.007000,4.406528,19.208606,9.984607,4.503008,19.186032,9.995803,1.687992,20.318138,0.168799,1.550630,18.336835,0.155063,1.825354,22.371590,0.182535,74,68.000000,,
Chad,TCD,West Africa,Sub-Saharan Africa,Chad,True,,19319064.000000,True,True,6.047829,3.580970,9.247937,4.624266,2.625729,7.388013,5.336048,7.893766,3.866750,13.800955,6.151972,2.924158,10.980352,7.022869,1.686821,31.611810,0.168682,1.845937,30.522302,0.184594,1.527706,33.036720,0.152771,75,69.000000,36.000000,19.000000
Saint Vincent and the Grenadines,VCT,The Caribbean,Latin America and the Caribbean,Saint Vincent and the Grenadines,True,,101323.000000,False,False,7.994975,5.260412,11.671446,9.971521,6.659703,14.271418,8.983248,9.343603,4.536241,16.295074,11.848448,6.105877,19.893042,10.596025,1.612777,17.953162,0.161278,1.348628,16.868442,0.134863,1.876926,18.822870,0.187693,76,70.000000,,
