country,iso,Region,Superregion,un_name,is_un_member,exclusion_note,pop_2023,pop_ge_5m,in_main_ranking,prev_men_2004,lo_men_2004,hi_men_2004,prev_women_2004,lo_women_2004,hi_women_2004,prev_both_2004,prev_men_2014,lo_men_2014,hi_men_2014,prev_women_2014,lo_women_2014,hi_women_2014,prev_both_2014,abs_change_pp_both,rel_change_pct_both,pp_per_year_both,abs_change_pp_men,rel_change_pct_men,pp_per_year_men,abs_change_pp_women,rel_change_pct_women,pp_per_year_women,rank_abs_all200,rank_abs_un_all,rank_abs_main,rank_rel_main
United States of America,USA,High-income English-speaking countries,High-income western,United States of America,True,,336806231.000000,True,True,7.458451,5.706860,9.572362,5.969120,4.574290,7.667159,6.713785,8.169654,4.917664,12.688301,6.436338,3.808856,9.945061,7.302996,0.589211,8.776133,0.058921,0.711203,9.535538,0.071120,0.467218,7.827251,0.046722,161,152.000000,98.000000,99.000000
Viet Nam,VNM,Southeast Asia,East and southeast Asia,Vietnam,True,,100352192.000000,True,True,4.564601,3.003949,6.474894,4.971681,3.349531,6.988891,4.768141,5.538741,2.887397,9.177392,5.136911,2.700960,8.220080,5.337826,0.569685,11.947737,0.056968,0.974141,21.341202,0.097414,0.165229,3.323407,0.016523,162,153.000000,99.000000,89.000000
Czech Republic,CZE,Central Europe,Central and eastern Europe,Czechia,True,,10864042.000000,True,True,7.469445,5.011996,10.440881,6.461348,4.263466,9.239928,6.965397,8.440673,4.288449,14.289137,6.615959,3.253235,11.361765,7.528316,0.562920,8.081660,0.056292,0.971228,13.002686,0.097123,0.154611,2.392858,0.015461,163,154.000000,100.000000,100.000000
Montenegro,MNE,Central Europe,Central and eastern Europe,Montenegro,True,,623529.000000,False,False,6.658464,4.324634,9.603632,6.442009,4.176903,9.324219,6.550236,7.572761,3.729937,12.914286,6.648407,3.207711,11.266158,7.110584,0.560348,8.554618,0.056035,0.914297,13.731351,0.091430,0.206398,3.203944,0.020640,164,155.000000,,
Estonia,EST,Eastern Europe,Central and eastern Europe,Estonia,True,,1370286.000000,False,False,6.860761,4.122856,10.148507,6.360945,3.775422,9.704884,6.610853,7.707769,3.532710,13.755687,6.543983,2.905668,11.963023,7.125876,0.515023,7.790573,0.051502,0.847008,12.345683,0.084701,0.183039,2.877542,0.018304,165,156.000000,,
Venezuela,VEN,Central Latin America,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),True,,28300854.000000,True,True,9.420713,6.619529,12.632728,8.568996,6.120191,11.492425,8.994854,9.936078,5.273127,15.721790,8.977860,4.786837,14.360183,9.456969,0.462114,5.137542,0.046211,0.515365,5.470553,0.051537,0.408864,4.771431,0.040886,166,157.000000,101.000000,104.000000
Cyprus,CYP,Southwestern Europe,High-income western,Cyprus,True,,1344976.000000,False,False,7.441618,5.051898,10.314182,5.588592,3.746005,7.875720,6.515105,8.280286,4.257592,13.686605,5.671098,2.818679,9.776216,6.975692,0.460587,7.069529,0.046059,0.838669,11.269977,0.083867,0.082506,1.476327,0.008251,167,158.000000,,
Ireland,IRL,High-income English-speaking countries,High-income western,Ireland,True,,5311538.000000,True,True,6.807497,4.556074,9.625086,4.770439,3.128990,6.905149,5.788968,7.308840,3.952594,11.581926,5.143813,2.739186,8.489538,6.226327,0.437359,7.555039,0.043736,0.501343,7.364572,0.050134,0.373375,7.826838,0.037337,168,159.000000,102.000000,101.000000
Timor-Leste,TLS,Southeast Asia,East and southeast Asia,Timor-Leste,True,,1384286.000000,False,False,4.926566,2.909817,7.509892,5.153526,3.191350,7.659972,5.040046,5.376812,2.586836,9.098064,5.518826,2.894894,9.041667,5.447819,0.407773,8.090657,0.040777,0.450246,9.139139,0.045025,0.365300,7.088350,0.036530,169,160.000000,,
North Korea,PRK,Southeast Asia,East and southeast Asia,Democratic People's Republic of Korea,True,,26418204.000000,True,True,5.126426,2.821266,8.158441,5.784198,3.333959,8.999653,5.455312,5.752975,2.311674,11.052123,5.921000,2.561959,11.278646,5.836988,0.381676,6.996404,0.038168,0.626549,12.221947,0.062655,0.136802,2.365103,0.013680,170,161.000000,103.000000,102.000000
Bosnia and Herzegovina,BIH,Central Europe,Central and eastern Europe,Bosnia and Herzegovina,True,,3185073.000000,False,False,7.321280,4.194565,11.584143,6.806352,3.921392,10.354384,7.063816,7.959523,4.090705,13.293178,6.909738,3.540695,11.618114,7.434631,0.370815,5.249493,0.037081,0.638243,8.717643,0.063824,0.103386,1.518963,0.010339,171,162.000000,,
Italy,ITA,Southwestern Europe,High-income western,Italy,True,,58984216.000000,True,True,6.304242,4.663394,8.263467,4.694791,3.426124,6.266432,5.499517,7.054089,3.905572,11.199443,4.622252,2.534622,7.573565,5.838171,0.338654,6.157886,0.033865,0.749847,11.894325,0.074985,-0.072539,-1.545098,-0.007254,172,163.000000,104.000000,103.000000
Greece,GRC,Southwestern Europe,High-income western,Greece,True,,10407351.000000,True,True,6.708581,4.516253,9.540035,5.941551,3.945361,8.483901,6.325066,7.248566,3.682605,12.145195,6.015919,3.017470,10.403567,6.632242,0.307176,4.856493,0.030718,0.539985,8.049170,0.053999,0.074368,1.251655,0.007437,173,164.000000,105.000000,105.000000
France,FRA,Southwestern Europe,High-income western,France,True,,68372286.000000,True,True,6.946029,4.868244,9.601494,4.440163,2.958358,6.287923,5.693096,7.458852,4.069103,12.246212,4.425538,2.317348,7.471411,5.942195,0.249099,4.375463,0.024910,0.512823,7.382971,0.051282,-0.014625,-0.329372,-0.001462,174,165.000000,106.000000,106.000000
New Zealand,NZL,High-income English-speaking countries,High-income western,New Zealand,True,,5200000.000000,True,True,7.546519,5.447073,10.034540,5.830291,4.167049,7.863884,6.688405,7.904294,4.308377,12.717837,5.963445,3.375743,9.586808,6.933869,0.245464,3.669999,0.024546,0.357775,4.740923,0.035777,0.133154,2.283833,0.013315,175,166.000000,107.000000,108.000000
United Kingdom,GBR,High-income English-speaking countries,High-income western,United Kingdom of Great Britain and Northern Ireland,True,,68492000.000000,True,True,6.186900,4.654551,7.975224,4.915876,3.626724,6.416371,5.551388,6.620147,4.104635,9.739141,4.946023,3.069837,7.432597,5.783085,0.231696,4.173666,0.023170,0.433246,7.002640,0.043325,0.030146,0.613248,0.003015,176,167.000000,108.000000,107.000000
Djibouti,DJI,East Africa,Sub-Saharan Africa,Djibouti,True,,1152944.000000,False,False,8.369080,4.965093,12.960191,7.409190,4.341096,11.518681,7.889135,8.640812,4.037767,15.200033,7.592133,3.565009,13.488241,8.116473,0.227338,2.881656,0.022734,0.271732,3.246851,0.027173,0.182944,2.469149,0.018294,177,168.000000,,
Switzerland,CHE,Northwestern Europe,High-income western,Switzerland,True,,8888822.000000,True,True,4.851114,3.360861,6.759010,3.089416,2.058180,4.380951,3.970265,5.298201,2.824160,8.935713,2.827654,1.440671,4.782946,4.062927,0.092662,2.333911,0.009266,0.447087,9.216164,0.044709,-0.261762,-8.472856,-0.026176,178,169.000000,109.000000,109.000000
Luxembourg,LUX,Northwestern Europe,High-income western,Luxembourg,True,,666430.000000,False,False,6.778145,4.488221,9.573628,3.988541,2.620845,5.705483,5.383343,6.972909,3.590421,11.507206,3.901433,2.029953,6.599015,5.437171,0.053828,0.999904,0.005383,0.194764,2.873409,0.019476,-0.087107,-2.183940,-0.008711,179,170.000000,,
Israel,ISR,Southwestern Europe,High-income western,Israel,True,,9849000.000000,True,True,6.825973,4.603327,9.739741,5.926781,3.960904,8.428445,6.376377,7.092237,3.565832,12.152360,5.761362,2.833677,10.028049,6.426800,0.050423,0.790773,0.005042,0.266265,3.900760,0.026626,-0.165419,-2.791051,-0.016542,180,171.000000,110.000000,110.000000
Japan,JPN,East Asia,East and southeast Asia,Japan,True,,124516650.000000,True,True,7.768520,6.121794,9.757757,5.527234,4.289469,6.995245,6.647877,8.358883,5.244211,12.427538,5.003628,2.979873,7.667828,6.681255,0.033378,0.502083,0.003338,0.590362,7.599417,0.059036,-0.523607,-9.473211,-0.052361,181,172.000000,111.000000,112.000000
Germany,DEU,Northwestern Europe,High-income western,Germany,True,,83287273.000000,True,True,5.827230,4.220599,7.741602,4.034298,2.874259,5.377823,4.930764,6.016350,3.279583,9.806681,3.904972,2.082769,6.479614,4.960661,0.029897,0.606343,0.002990,0.189120,3.245458,0.018912,-0.129326,-3.205654,-0.012933,182,173.000000,112.000000,111.000000
Canada,CAN,High-income English-speaking countries,High-income western,Canada,True,,40083484.000000,True,True,6.197543,4.348808,8.523404,4.785705,3.334514,6.580875,5.491624,6.229572,3.339508,10.290134,4.761484,2.548095,7.854378,5.495528,0.003904,0.071086,0.000390,0.032029,0.516798,0.003203,-0.024221,-0.506117,-0.002422,183,174.000000,113.000000,113.000000
Malta,MLT,Southwestern Europe,High-income western,Malta,True,,552747.000000,False,False,8.690099,6.034032,12.025880,6.730596,4.626371,9.438228,7.710347,9.049356,4.661905,15.127043,6.375701,3.288731,10.847362,7.712528,0.002181,0.028286,0.000218,0.359257,4.134097,0.035926,-0.354895,-5.272864,-0.035490,184,175.000000,,
Australia,AUS,High-income English-speaking countries,High-income western,Australia,True,,26659922.000000,True,True,6.813180,4.950834,8.865998,5.043618,3.652285,6.715471,5.928399,6.789187,3.821843,10.489186,4.999745,2.947874,7.860189,5.894466,-0.033933,-0.572385,-0.003393,-0.023994,-0.352165,-0.002399,-0.043873,-0.869870,-0.004387,185,176.000000,114.000000,114.000000
Sweden,SWE,Northwestern Europe,High-income western,Sweden,True,,10536632.000000,True,True,5.859798,4.243619,7.688582,4.021050,2.856733,5.405010,4.940424,5.845048,3.201432,9.274123,3.951907,2.128343,6.566541,4.898477,-0.041946,-0.849045,-0.004195,-0.014750,-0.251709,-0.001475,-0.069143,-1.719530,-0.006914,186,177.000000,115.000000,116.000000
Spain,ESP,Southwestern Europe,High-income western,Spain,True,,48352528.000000,True,True,8.351995,6.193070,11.007623,5.979792,4.325310,8.005604,7.165893,8.541768,4.625229,13.818124,5.680259,3.076589,9.288398,7.111013,-0.054880,-0.765851,-0.005488,0.189773,2.272189,0.018977,-0.299533,-5.009091,-0.029953,187,178.000000,116.000000,115.000000
Austria,AUT,Northwestern Europe,High-income western,Austria,True,,9131761.000000,True,True,5.315303,3.680130,7.397209,3.497924,2.379244,4.957091,4.406614,5.414746,2.750557,9.087069,3.216412,1.612462,5.732445,4.315579,-0.091035,-2.065871,-0.009103,0.099442,1.870871,0.009944,-0.281512,-8.047982,-0.028151,188,179.000000,117.000000,117.000000
China (Hong Kong SAR),HKG,,,China (Hong Kong SAR),False,SAR of China,7536100.000000,True,False,8.827177,5.141014,13.510789,6.481205,3.829230,9.973500,7.654191,9.260186,3.745678,17.729615,5.838057,2.319052,11.467516,7.549121,-0.105070,-1.372707,-0.010507,0.433009,4.905406,0.043301,-0.643148,-9.923281,-0.064315,189,,,
Greenland,GRL,Northwestern Europe,High-income western,Greenland,False,territory (Denmark),56865.000000,False,False,5.557795,3.878407,7.580998,4.831144,3.422932,6.548200,5.194469,5.582051,2.939862,9.200181,4.591835,2.405737,7.624453,5.086943,-0.107527,-2.070020,-0.010753,0.024256,0.436428,0.002426,-0.239309,-4.953462,-0.023931,190,,,
