idf_region,country_idf,footnote,n_adults_1000s_2024,prev_2024_pct,age_adj_prev_2024_pct,undiagnosed_2024_pct,page
WP,Indonesia,,20426.4,11.0,11.3,73.2,121
WP,Japan,,10763.5,12.0,8.1,31.3,121
WP,Kiribati,,16.0,21.5,24.6,55.0,121
WP,Lao People's Democratic Republic,,255.1,5.5,6.7,41.9,121
WP,"China, Macao SAR",,52.3,9.3,8.1,54.2,121
WP,Malaysia,,4753.9,19.9,21.1,50.4,121
WP,Marshall Islands,,6.0,24.0,25.7,65.0,121
WP,Mongolia,,208.5,10.0,10.3,74.7,121
WP,Myanmar,,2365.8,6.4,6.7,49.7,121
WP,Nauru,,1.3,19.1,21.8,32.9,121
WP,New Caledonia,,46.1,22.8,22.0,32.9,121
WP,New Zealand,,292.0,7.8,6.7,25.7,121
WP,Niue,,0.3,21.1,18.1,56.3,121
WP,Palau,,2.7,20.8,19.3,56.3,121
WP,Papua New Guinea,,838.0,14.2,14.1,73.2,121
WP,Philippines,,4726.3,6.6,7.5,53.5,121
WP,Republic of Korea,,5030.1,12.2,9.6,28.3,121
WP,Samoa,,28.2,23.7,25.4,83.9,121
WP,Singapore,,699.1,14.1,11.4,37.3,121
WP,Solomon Islands,,38.4,10.0,12.0,80.6,121
WP,"Taiwan, Province of China",,2598.2,13.7,10.7,54.2,121
WP,Thailand,,6360.8,11.7,10.2,33.3,121
WP,Timor-Leste,,21.6,2.9,3.2,77.5,121
WP,Tonga,,10.1,17.0,19.6,73.2,121
WP,Tuvalu,,1.2,17.9,19.0,56.3,121
WP,Vanuatu,,29.0,16.7,19.7,73.2,121
WP,Viet Nam,,2499.9,3.6,3.4,37.8,121
